DATE,WPU0531
2013-01-01,143.1
2013-02-01,138.2
2013-03-01,144.2
2013-04-01,163.9
2013-05-01,172.2
2013-06-01,170.1
2013-07-01,155.6
2013-08-01,146.8
2013-09-01,149.8
2013-10-01,149.5
2013-11-01,150.0
2013-12-01,163.2
2014-01-01,180.7
2014-02-01,235.1
2014-03-01,210.3
2014-04-01,194.7
2014-05-01,193.4
2014-06-01,186.7
2014-07-01,179.6
2014-08-01,159.5
2014-09-01,162.8
2014-10-01,160.4
2014-11-01,155.1
2014-12-01,170.5
2015-01-01,127.6
2015-02-01,114.7
2015-03-01,115.8
2015-04-01,101.1
2015-05-01,101.0
2015-06-01,108.8
2015-07-01,109.4
2015-08-01,112.1
2015-09-01,104.5
2015-10-01,99.6
2015-11-01,84.6
2015-12-01,85.4
2016-01-01,93.6
2016-02-01,84.0
2016-03-01,64.4
2016-04-01,70.2
2016-05-01,75.0
2016-06-01,82.3
2016-07-01,113.5
2016-08-01,105.9
2016-09-01,113.0
2016-10-01,114.4
2016-11-01,106.0
2016-12-01,132.5
2017-01-01,156.2
2017-02-01,133.0
2017-03-01,103.8
2017-04-01,120.4
2017-05-01,119.8
2017-06-01,120.3
2017-07-01,115.1
2017-08-01,111.8
2017-09-01,111.6
2017-10-01,108.8
2017-11-01,106.6
2017-12-01,116.7
2018-01-01,112.6
2018-02-01,125.5
2018-03-01,94.1
2018-04-01,96.0
2018-05-01,100.1
2018-06-01,103.1
2018-07-01,105.4
2018-08-01,104.0
2018-09-01,104.9
2018-10-01,108.3
2018-11-01,126.0
2018-12-01,165.5
2019-01-01,126.9
2019-02-01,102.4
2019-03-01,96.6
2019-04-01,84.3
2019-05-01,80.2
2019-06-01,76.6
2019-07-01,74.2
2019-08-01,70.6
2019-09-01,75.1
2019-10-01,72.6
2019-11-01,85.4
2019-12-01,81.3
2020-01-01,70.7
2020-02-01,59.7
2020-03-01,55.4
2020-04-01,48.5
2020-05-01,59.9
2020-06-01,56.3
2020-07-01,53.3
2020-08-01,64.2
2020-09-01,77.2
2020-10-01,68.8
2020-11-01,97.4
2020-12-01,98.5
2021-01-01,98.0
2021-02-01,168.2
2021-03-01,110.4
2021-04-01,98.8
2021-05-01,112.0
2021-06-01,113.7
2021-07-01,139.159
2021-08-01,152.782
2021-09-01,172.735
2021-10-01,216.688
2021-11-01,224.853
2021-12-01,192.179
2022-01-01,176.755
2022-02-01,227.961
2022-03-01,180.840
2022-04-01,217.004
2022-05-01,286.755
2022-06-01,316.087
2022-07-01,264.762
2022-08-01,342.313
2022-09-01,315.009
2022-10-01,202.470
2022-11-01,170.759
2022-12-01,248.141
