DATE,ACTLISCOU26420
2016-07-01,26522.0
2016-08-01,26450.0
2016-09-01,26181.0
2016-10-01,25625.0
2016-11-01,25102.0
2016-12-01,23497.0
2017-01-01,22573.0
2017-02-01,22966.0
2017-03-01,23970.0
2017-04-01,25319.0
2017-05-01,27079.0
2017-06-01,28516.0
2017-07-01,29762.0
2017-08-01,30240.0
2017-09-01,27526.0
2017-10-01,26203.0
2017-11-01,25331.0
2017-12-01,23956.0
2018-01-01,22151.0
2018-02-01,22076.0
2018-03-01,22888.0
2018-04-01,24827.0
2018-05-01,26244.0
2018-06-01,27669.0
2018-07-01,29012.0
2018-08-01,29415.0
2018-09-01,28945.0
2018-10-01,28678.0
2018-11-01,28132.0
2018-12-01,27036.0
2019-01-01,25958.0
2019-02-01,26233.0
2019-03-01,26958.0
2019-04-01,27877.0
2019-05-01,28962.0
2019-06-01,30320.0
2019-07-01,31163.0
2019-08-01,30584.0
2019-09-01,29797.0
2019-10-01,29092.0
2019-11-01,28225.0
2019-12-01,26415.0
2020-01-01,25080.0
2020-02-01,25134.0
2020-03-01,25926.0
2020-04-01,26468.0
2020-05-01,25807.0
2020-06-01,23811.0
2020-07-01,22738.0
2020-08-01,21862.0
2020-09-01,20417.0
2020-10-01,19769.0
2020-11-01,19011.0
2020-12-01,17620.0
2021-01-01,15998.0
2021-02-01,14131.0
2021-03-01,12882.0
2021-04-01,12203.0
2021-05-01,12096.0
2021-06-01,13445.0
2021-07-01,15016.0
2021-08-01,16361.0
2021-09-01,16259.0
2021-10-01,15671.0
2021-11-01,14713.0
2021-12-01,13455.0
2022-01-01,12042.0
2022-02-01,11074.0
2022-03-01,10703.0
2022-04-01,11033.0
2022-05-01,12671.0
2022-06-01,14920.0
2022-07-01,18444.0
2022-08-01,20158.0
2022-09-01,20476.0
2022-10-01,20846.0
2022-11-01,21230.0
2022-12-01,20162.0
2023-01-01,18699.0
